02/01/2021
6039750     reassemble vehicle and place outside    0.3 hrs
6039475     subframe removal                        0.9 hrs
6039475     propeller shaft removal                 1.1 hrs
6039475     engine support fixture installation     2.3 hrs
6039475     swapping over trans parts               1.5 hrs

